created_at,source,original_text,polarity,subjectivity,lang,fav_count,retweet_count,screen_name,follower_count,friends_count,sensitivity,hashtags,mentions,location
Sun Aug 07 22:27:49 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @CGMeifangZhang: Biden said he can't prevent #Pelosi visiting #Taiwan because of ""separation of powers"".
A pale excuse. 
What prevented…",-0.13,0.11499999999999999,en,0,27,huang17239678,8,54,false,"[{'text': 'Pelosi', 'indices': [48, 55]}, {'text': 'Taiwan', 'indices': [65, 72]}]","[{'screen_name': 'CGMeifangZhang', 'name': 'Zhang Meifang张美芳', 'id': 1222894323152195586, 'id_str': '1222894323152195586', 'indices': [3, 18]}]",
Sun Aug 07 22:27:47 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @revmahoney: How do we know how the CCP would treat Taiwan and the rest of the world! Easy answer. Just look how they treated the people…,0.43333333333333335,0.8333333333333334,en,0,5,JohnCha85102303,120,158,false,[],"[{'screen_name': 'revmahoney', 'name': 'Rev. Patrick Mahoney', 'id': 108665128, 'id_str': '108665128', 'indices': [3, 14]}]",
Sun Aug 07 22:27:16 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @MAKSIMYQY: If Hawaii separatists want to establish an independent country,
if China enacted “Hawaii Relations Act”, gave “Six Assurance…",0.0,0.125,en,0,26,wcgkyyhjx,266,597,false,[],"[{'screen_name': 'MAKSIMYQY', 'name': 'Yan Yiqiang', 'id': 1427842216676974592, 'id_str': '1427842216676974592', 'indices': [3, 13]}]",
Sun Aug 07 22:27:02 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @SpokespersonCHN: ""#Taiwan is part of China. That's been absolutely accepted by the whole of international community... And if you don't…",0.13333333333333333,0.43333333333333335,en,0,669,Martahjoy,823,597,false,"[{'text': 'Taiwan', 'indices': [22, 29]}]","[{'screen_name': 'SpokespersonCHN', 'name': 'Hua Chunying 华春莹', 'id': 1183698123719200768, 'id_str': '1183698123719200768', 'indices': [3, 19]}]",
Sun Aug 07 22:26:40 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @SpokespersonCHN: ""#Taiwan is part of China. That's been absolutely accepted by the whole of international community... And if you don't…",0.13333333333333333,0.43333333333333335,en,0,669,Attomikdog,151,701,false,"[{'text': 'Taiwan', 'indices': [22, 29]}]","[{'screen_name': 'SpokespersonCHN', 'name': 'Hua Chunying 华春莹', 'id': 1183698123719200768, 'id_str': '1183698123719200768', 'indices': [3, 19]}]",
Sun Aug 07 22:26:25 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @ChinaInfo777: #PinkFloyd Roger Waters tells it as it is. #Taiwan is a part of #China! https://t.co/RJ64fX6F33,0.0,0.0,en,0,5,nhohn2011,870,508,false,"[{'text': 'PinkFloyd', 'indices': [18, 28]}, {'text': 'Taiwan', 'indices': [61, 68]}, {'text': 'China', 'indices': [82, 88]}]","[{'screen_name': 'ChinaInfo777', 'name': 'China Info 🇨🇳', 'id': 1508186150711701505, 'id_str': '1508186150711701505', 'indices': [3, 16]}]",
Sun Aug 07 22:26:23 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @IndoPac_Info: 66 #Chinese military aircraft and 14 vessels were detected around #Taiwan on August 7th. 

Taiwan's military have monitor…",-0.06666666666666667,0.06666666666666667,en,0,43,xiaohuaSong3,243,87,false,"[{'text': 'Chinese', 'indices': [21, 29]}, {'text': 'Taiwan', 'indices': [84, 91]}]","[{'screen_name': 'IndoPac_Info', 'name': 'Indo-Pacific News - Watching the CCP-China Threat', 'id': 844136511079559168, 'id_str': '844136511079559168', 'indices': [3, 16]}]",
Sun Aug 07 22:25:57 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@BarkingMaad @EnemyInAState The #Taiwan #TaiwanStraitsCrisis is more #ovenready for a distraction from #monkeypox than the #Brexit deal was for #BorisJohnson!,0.625,0.5,en,1,0,BenEndCOVID19,550,1207,false,"[{'text': 'Taiwan', 'indices': [32, 39]}, {'text': 'TaiwanStraitsCrisis', 'indices': [40, 60]}, {'text': 'ovenready', 'indices': [69, 79]}, {'text': 'monkeypox', 'indices': [103, 113]}, {'text': 'Brexit', 'indices': [123, 130]}, {'text': 'BorisJohnson', 'indices': [144, 157]}]","[{'screen_name': 'BarkingMaad', 'name': 'Barking Maad - AZ 💉💉ModeRNA 💉💉', 'id': 181813902, 'id_str': '181813902', 'indices': [0, 12]}, {'screen_name': 'EnemyInAState', 'name': 'Chris Turnbull', 'id': 846454000585244672, 'id_str': '846454000585244672', 'indices': [13, 27]}]",
Sun Aug 07 22:25:37 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @WilliamYang120: ""For too long, #Taiwan has been bullied, marginalized and isolated from the world and banned from international organiz…",-0.025,0.2,en,0,84,hoggothoaryhost,44,60,false,"[{'text': 'Taiwan', 'indices': [35, 42]}]","[{'screen_name': 'WilliamYang120', 'name': 'William Yang', 'id': 365216346, 'id_str': '365216346', 'indices': [3, 18]}]",
Sun Aug 07 22:25:34 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @Veronic59122266: Nancy Pelosi is willing to risk starting a war with China so that she can make massive profits on her husband's inside…,0.08333333333333333,0.6166666666666667,en,0,1897,robbie_robbi1,808,3650,false,[],"[{'screen_name': 'Veronic59122266', 'name': 'Veronica Lopez', 'id': 1415620502241091585, 'id_str': '1415620502241091585', 'indices': [3, 19]}]",
